Date,S&P 500 Pure Value (TR)
2014-07-17,9119.59
2014-07-18,9195.84
2014-07-21,9175.51
2014-07-22,9212.34
2014-07-23,9226.31
2014-07-24,9233.62
2014-07-25,9175.81
2014-07-28,9195.63
2014-07-29,9134.48
2014-07-30,9063.8
2014-07-31,8893.52
2014-08-01,8878.04
2014-08-04,8928.1
2014-08-05,8848.3
2014-08-06,8850.28
2014-08-07,8787.88
2014-08-08,8907.96
2014-08-11,8922.6
2014-08-12,8913.86
2014-08-13,8958.66
2014-08-14,9009.54
2014-08-15,8997.06
2014-08-18,9066.76
2014-08-19,9120.46
2014-08-20,9146.09
2014-08-21,9182.94
2014-08-22,9148.33
2014-08-25,9209.35
2014-08-26,9218.59
2014-08-27,9255.9
2014-08-28,9254.88
2014-08-29,9304.65
2014-09-02,9285.17
2014-09-03,9293.97
2014-09-04,9269.22
2014-09-05,9314.12
2014-09-08,9273.18
2014-09-09,9213.06
2014-09-10,9215.95
2014-09-11,9235.52
2014-09-12,9157.62
2014-09-15,9170.67
2014-09-16,9238.43
2014-09-17,9242.62
2014-09-18,9261.65
2014-09-19,9260.76
2014-09-22,9157.25
2014-09-23,9088.21
2014-09-24,9140.3
2014-09-25,9006.36
2014-09-26,9067.26
2014-09-29,9044.58
2014-09-30,9009.37
2014-10-01,8904.49
2014-10-02,8900.13
2014-10-03,8979.12
2014-10-06,8961.76
2014-10-07,8830.86
2014-10-08,8975.04
2014-10-09,8761.37
2014-10-10,8685.85
2014-10-13,8549.08
2014-10-14,8575.71
2014-10-15,8492.45
2014-10-16,8514.93
2014-10-17,8625.31
2014-10-20,8717.46
2014-10-21,8898.09
2014-10-22,8825.71
2014-10-23,8910.09
2014-10-24,8960.14
2014-10-27,8923.61
2014-10-28,9040.94
2014-10-29,9025.19
2014-10-30,9100.32
2014-10-31,9215.73
2014-11-03,9213.41
2014-11-04,9164.44
2014-11-05,9251.47
2014-11-06,9221.17
2014-11-07,9246.38
2014-11-10,9261.98
2014-11-11,9277.41
2014-11-12,9263.3
2014-11-13,9238.07
2014-11-14,9236.81
2014-11-17,9284.38
2014-11-18,9324.62
2014-11-19,9315.09
2014-11-20,9352.9
2014-11-21,9421.67
2014-11-24,9417.62
2014-11-25,9400.74
2014-11-26,9400.84
2014-11-28,9335.45
2014-12-01,9284.03
2014-12-02,9349.79
2014-12-03,9398.04
2014-12-04,9365.96
2014-12-05,9373.74
2014-12-08,9289.06
2014-12-09,9308.51
2014-12-10,9132.33
2014-12-11,9182.67
2014-12-12,9025.92
2014-12-15,8990.55
2014-12-16,8946.2
2014-12-17,9140.46
2014-12-18,9334.06
2014-12-19,9420.91
2014-12-22,9383.53
2014-12-23,9467.94
2014-12-24,9431.33
2014-12-26,9462.05
2014-12-29,9511.92
2014-12-30,9486.19
2014-12-31,9390.04
2015-01-02,9378.83
2015-01-05,9092.84
2015-01-06,8980.37
2015-01-07,9031.22
2015-01-08,9215.25
2015-01-09,9109.96
2015-01-12,8965.56
2015-01-13,8908.38
2015-01-14,8851.05
2015-01-15,8723.04
2015-01-16,8901.32
2015-01-20,8853.15
2015-01-21,8973.93
2015-01-22,9099.37
2015-01-23,9047.89
2015-01-26,9124.88
2015-01-27,9085.1
2015-01-28,8839.56
2015-01-29,8894.81
2015-01-30,8862.27
2015-02-02,9087.15
2015-02-03,9314.4
2015-02-04,9221.16
2015-02-05,9341.01
2015-02-06,9354.6
2015-02-09,9383.02
2015-02-10,9394.94
2015-02-11,9371.94
2015-02-12,9460.51
2015-02-13,9528.33
2015-02-17,9591.3
2015-02-18,9545.11
2015-02-19,9553.51
2015-02-20,9570.89
2015-02-23,9536.79
2015-02-24,9571.55
2015-02-25,9559.49
2015-02-26,9459.04
2015-02-27,9453.99
2015-03-02,9441.44
2015-03-03,9445.21
2015-03-04,9402.03
2015-03-05,9412.12
2015-03-06,9279.58
2015-03-09,9261.5
2015-03-10,9076.05
2015-03-11,9112.43
2015-03-12,9204.13
2015-03-13,9139.26
2015-03-16,9250.07
2015-03-17,9224.98
2015-03-18,9398.22
2015-03-19,9262.56
2015-03-20,9382.89
2015-03-23,9394.61
2015-03-24,9327.24
2015-03-25,9262.3
2015-03-26,9235.53
2015-03-27,9199.87
2015-03-30,9332.66
2015-03-31,9284.64
2015-04-01,9277.34
2015-04-02,9310.97
2015-04-06,9410.9
2015-04-07,9382.42
2015-04-08,9372.54
2015-04-09,9440.56
2015-04-10,9459.69
2015-04-13,9419.01
2015-04-14,9473.39
2015-04-15,9594.13
2015-04-16,9565.81
2015-04-17,9449.53
2015-04-20,9502.55
2015-04-21,9430.28
2015-04-22,9481.3
2015-04-23,9510.51
2015-04-24,9498.28
2015-04-27,9462.88
2015-04-28,9521.64
2015-04-29,9553.71
2015-04-30,9502.39
2015-05-01,9584.95
2015-05-04,9628.94
2015-05-05,9543.85
2015-05-06,9491.85
2015-05-07,9470.28
2015-05-08,9602.45
2015-05-11,9562.3
2015-05-12,9540.98
2015-05-13,9555.42
2015-05-14,9566.86
2015-05-15,9569.93
2015-05-18,9620.29
2015-05-19,9583.72
2015-05-20,9582.53
2015-05-21,9644.25
2015-05-22,9615.9
2015-05-26,9475.61
2015-05-27,9532.47
2015-05-28,9524.82
2015-05-29,9518.69
2015-06-01,9496.42
2015-06-02,9540.77
2015-06-03,9542.09
2015-06-04,9440.36
2015-06-05,9479.42
2015-06-08,9416.21
2015-06-09,9420.8
2015-06-10,9558.56
2015-06-11,9556.27
2015-06-12,9485.53
2015-06-15,9437.43
2015-06-16,9487.81
2015-06-17,9483.3
2015-06-18,9536.61
2015-06-19,9486.3
2015-06-22,9538.39
2015-06-23,9582.36
2015-06-24,9497.25
2015-06-25,9425.26
2015-06-26,9455.2
2015-06-29,9236.41
2015-06-30,9271.6
2015-07-01,9327.93
2015-07-02,9325.59
2015-07-06,9261.44
2015-07-07,9335.11
2015-07-08,9151.13
2015-07-09,9196.57
2015-07-10,9280.46
2015-07-13,9379.17
2015-07-14,9419.45
2015-07-15,9361.37
2015-07-16,9425.41
2015-07-17,9331.09
2015-07-20,9263.15
2015-07-21,9240.93
2015-07-22,9241.67
2015-07-23,9180.8
2015-07-24,9072.3
2015-07-27,8993.52
2015-07-28,9106.97
2015-07-29,9215.02
2015-07-30,9188.97
2015-07-31,9139.32
2015-08-03,9069.55
2015-08-04,9055.43
2015-08-05,9063.98
2015-08-06,9088.05
2015-08-07,9041.11
2015-08-10,9246.23
2015-08-11,9168.25
2015-08-12,9194.29
2015-08-13,9156.14
2015-08-14,9192.35
2015-08-17,9218.98
2015-08-18,9208.14
2015-08-19,9094.15
2015-08-20,8894.33
2015-08-21,8595.98
2015-08-24,8206.41
2015-08-25,8093.51
2015-08-26,8344.02
2015-08-27,8603.37
2015-08-28,8641.49
2015-08-31,8654.24
2015-09-01,8370.38
2015-09-02,8477.72
2015-09-03,8517.57
2015-09-04,8370.3
2015-09-08,8592.53
2015-09-09,8495.01
2015-09-10,8542.43
2015-09-11,8550.37
2015-09-14,8503.78
2015-09-15,8608.79
2015-09-16,8713.05
2015-09-17,8647.49
2015-09-18,8451.32
2015-09-21,8492.92
2015-09-22,8365.73
2015-09-23,8338.21
2015-09-24,8340.84
2015-09-25,8379.01
2015-09-28,8133.72
2015-09-29,8176.16
2015-09-30,8321.88
2015-10-01,8322.79
2015-10-02,8461.08
2015-10-05,8666.92
2015-10-06,8705.13
2015-10-07,8798.61
2015-10-08,8913.15
2015-10-09,8871.95
2015-10-12,8845.21
2015-10-13,8770.43
2015-10-14,8727.78
2015-10-15,8874.36
2015-10-16,8883
2015-10-19,8826.82
2015-10-20,8868.78
2015-10-21,8786.86
2015-10-22,8912.06
2015-10-23,8963.85
2015-10-26,8887.01
2015-10-27,8792.36
2015-10-28,8967.32
2015-10-29,8964.52
2015-10-30,8960.68
2015-11-02,9119.53
2015-11-03,9164.14
2015-11-04,9122.32
2015-11-05,9126.54
2015-11-06,9154.64
2015-11-09,9066.9
2015-11-10,9097.23
2015-11-11,9023.67
2015-11-12,8859.75
2015-11-13,8766.5
2015-11-16,8922.9
2015-11-17,8870.61
2015-11-18,9016.88
2015-11-19,8977.87
2015-11-20,8982.11
2015-11-23,8997.59
2015-11-24,9062.01
2015-11-25,9036.51
2015-11-27,9024.14
2015-11-30,9020.99
2015-12-01,9122.5
2015-12-02,8965.85
2015-12-03,8836.66
2015-12-04,8965.68
2015-12-07,8823.06
2015-12-08,8731.9
2015-12-09,8666.56
2015-12-10,8682.01
2015-12-11,8461.86
2015-12-14,8443.05
2015-12-15,8587.27
2015-12-16,8691
2015-12-17,8534.45
2015-12-18,8390.91
2015-12-21,8466.74
2015-12-22,8584.44
2015-12-23,8773.16
2015-12-24,8761.14
2015-12-28,8671.79
2015-12-29,8756.01
2015-12-30,8671.4
2015-12-31,8625.7
2016-01-04,8564.85
2016-01-05,8558.11
2016-01-06,8333.7
2016-01-07,8156.14
2016-01-08,8029.54
2016-01-11,7963.68
2016-01-12,7959.16
2016-01-13,7759.62
2016-01-14,7853.39
2016-01-15,7683.77
2016-01-19,7607.04
2016-01-20,7516.88
2016-01-21,7606.87
2016-01-22,7735.77
2016-01-25,7530.96
2016-01-26,7718.01
2016-01-27,7707.99
2016-01-28,7743.47
2016-01-29,7985.35
2016-02-01,7995.94
2016-02-02,7784.53
2016-02-03,7881.17
2016-02-04,7965.19
2016-02-05,7908.57
2016-02-08,7734.23
2016-02-09,7675.47
2016-02-10,7634.85
2016-02-11,7454.42
2016-02-12,7667.34
2016-02-16,7829.11
2016-02-17,8001.81
