Date,Dow Jones U.S. Thematic Long Size Total Return Index
2015-02-27,1806.04
2015-03-02,1815.1
2015-03-03,1806.99
2015-03-04,1799.83
2015-03-05,1799.73
2015-03-06,1776.22
2015-03-09,1779.5
2015-03-10,1754.96
2015-03-11,1764.57
2015-03-12,1787.35
2015-03-13,1776.32
2015-03-16,1790.05
2015-03-17,1792.6
2015-03-18,1814.85
2015-03-19,1808.13
2015-03-20,1828.79
2015-03-23,1826.34
2015-03-24,1819.62
2015-03-25,1789.82
2015-03-26,1786.46
2015-03-27,1795.52
2015-03-30,1819.81
2015-03-31,1815.85
2015-04-01,1812.47
2015-04-02,1820.55
2015-04-06,1838.17
2015-04-07,1825.3
2015-04-08,1829.91
2015-04-09,1826.52
2015-04-10,1830.29
2015-04-13,1826.12
2015-04-14,1830.75
2015-04-15,1845.61
2015-04-16,1838.18
2015-04-17,1815.18
2015-04-20,1830.24
2015-04-21,1826.93
2015-04-22,1829.57
2015-04-23,1841.88
2015-04-24,1835.95
2015-04-27,1821.3
2015-04-28,1831.76
2015-04-29,1820.51
2015-04-30,1789.34
2015-05-01,1799.16
2015-05-04,1805.25
2015-05-05,1780.11
2015-05-06,1779.26
2015-05-07,1782.48
2015-05-08,1798.89
2015-05-11,1797.15
2015-05-12,1795.74
2015-05-13,1796.11
2015-05-14,1811.31
2015-05-15,1813.71
2015-05-18,1827.52
2015-05-19,1822.65
2015-05-20,1824.02
2015-05-21,1825.94
2015-05-22,1820.93
2015-05-26,1797.53
2015-05-27,1813.94
2015-05-28,1810.42
2015-05-29,1798.55
2015-06-01,1801.06
2015-06-02,1806.82
2015-06-03,1818.38
2015-06-04,1799.01
2015-06-05,1801.7
2015-06-08,1791.5
2015-06-09,1789.15
2015-06-10,1807.09
2015-06-11,1812.28
2015-06-12,1804.73
2015-06-15,1794.37
2015-06-16,1804.17
2015-06-17,1803.66
2015-06-18,1817.92
2015-06-19,1813.09
2015-06-22,1818.84
2015-06-23,1822.55
2015-06-24,1806.69
2015-06-25,1800.84
2015-06-26,1801.83
2015-06-29,1761.38
2015-06-30,1766.48
2015-07-01,1770.33
2015-07-02,1766.52
2015-07-06,1758.05
2015-07-07,1766.08
2015-07-08,1738.99
2015-07-09,1742.06
2015-07-10,1758.35
2015-07-13,1773.85
2015-07-14,1779.63
2015-07-15,1763.06
2015-07-16,1769.54
2015-07-17,1751.67
2015-07-20,1743.65
2015-07-21,1732.81
2015-07-22,1734.12
2015-07-23,1717.42
2015-07-24,1697.14
2015-07-27,1679.11
2015-07-28,1695.17
2015-07-29,1712.7
2015-07-30,1714.2
2015-07-31,1720.42
2015-08-03,1710.58
2015-08-04,1710.21
2015-08-05,1716.8
2015-08-06,1702.63
2015-08-07,1696.75
2015-08-10,1726.76
2015-08-11,1709.92
