Date,S&P 500 Pure Growth (TR)
2015-03-12,9440.44
2015-03-13,9397.53
2015-03-16,9548.23
2015-03-17,9534.83
2015-03-18,9647.77
2015-03-19,9677.76
2015-03-20,9769.18
2015-03-23,9723.92
2015-03-24,9690.64
2015-03-25,9469.7
2015-03-26,9449.59
2015-03-27,9526.73
2015-03-30,9612.5
2015-03-31,9532.03
2015-04-01,9471.55
2015-04-02,9511.89
2015-04-06,9538.41
2015-04-07,9518.04
2015-04-08,9604.04
2015-04-09,9627.11
2015-04-10,9666.56
2015-04-13,9625.93
2015-04-14,9621.71
2015-04-15,9668.82
2015-04-16,9656.96
2015-04-17,9552.28
2015-04-20,9638.97
2015-04-21,9684.79
2015-04-22,9698.12
2015-04-23,9715.63
2015-04-24,9684.12
2015-04-27,9611.25
2015-04-28,9589.93
2015-04-29,9510
2015-04-30,9397.67
2015-05-01,9554.63
2015-05-04,9554.32
2015-05-05,9406.6
2015-05-06,9379.75
2015-05-07,9451.96
2015-05-08,9563.43
2015-05-11,9541.78
2015-05-12,9504.63
2015-05-13,9494.19
2015-05-14,9610.97
2015-05-15,9606.63
2015-05-18,9653.84
2015-05-19,9624.65
2015-05-20,9599.59
2015-05-21,9627.7
2015-05-22,9631.53
2015-05-26,9524.02
2015-05-27,9620.29
2015-05-28,9601.45
2015-05-29,9539.3
2015-06-01,9589.14
2015-06-02,9560.05
2015-06-03,9568.85
2015-06-04,9500.16
2015-06-05,9507.51
2015-06-08,9417.43
2015-06-09,9384.94
2015-06-10,9492.04
2015-06-11,9510.15
2015-06-12,9471.73
2015-06-15,9429.17
2015-06-16,9473.26
2015-06-17,9504.14
2015-06-18,9622.04
2015-06-19,9603.55
2015-06-22,9673.84
2015-06-23,9662.76
2015-06-24,9597.49
2015-06-25,9593.65
2015-06-26,9534.06
2015-06-29,9295.25
2015-06-30,9340.84
2015-07-01,9400.31
2015-07-02,9408.78
2015-07-06,9376.52
2015-07-07,9441.89
2015-07-08,9265.65
2015-07-09,9289.31
2015-07-10,9428.31
2015-07-13,9544.48
2015-07-14,9589.64
2015-07-15,9566.54
2015-07-16,9625.13
2015-07-17,9626.63
2015-07-20,9641.64
2015-07-21,9635.76
2015-07-22,9659.25
2015-07-23,9643.43
2015-07-24,9509.71
2015-07-27,9444.17
2015-07-28,9593.64
2015-07-29,9646.79
2015-07-30,9654
2015-07-31,9663.97
2015-08-03,9657.52
2015-08-04,9649.73
2015-08-05,9698.3
2015-08-06,9546.57
2015-08-07,9547.16
2015-08-10,9650.99
2015-08-11,9581.54
2015-08-12,9603.53
2015-08-13,9626.77
2015-08-14,9652.18
2015-08-17,9735.25
2015-08-18,9707.49
2015-08-19,9656.33
2015-08-20,9409.19
2015-08-21,9106.81
2015-08-24,8766.64
2015-08-25,8679.99
2015-08-26,9021.78
2015-08-27,9265.09
2015-08-28,9262.08
2015-08-31,9166.02
2015-09-01,8927.56
2015-09-02,9123.83
2015-09-03,9122.95
2015-09-04,9002.09
2015-09-08,9238.93
2015-09-09,9116.45
2015-09-10,9172.29
2015-09-11,9232.57
2015-09-14,9193.21
2015-09-15,9297.62
2015-09-16,9386.65
2015-09-17,9409.57
2015-09-18,9264
2015-09-21,9271.78
2015-09-22,9137.25
2015-09-23,9134.78
2015-09-24,9083.89
2015-09-25,9053.56
2015-09-28,8744.99
2015-09-29,8703.72
2015-09-30,8926.56
2015-10-01,8980.85
2015-10-02,9114.96
2015-10-05,9251.49
2015-10-06,9144.1
2015-10-07,9249.81
2015-10-08,9319.26
2015-10-09,9343.08
2015-10-12,9384.27
2015-10-13,9275.85
2015-10-14,9216.59
2015-10-15,9346.02
2015-10-16,9389.11
2015-10-19,9428.14
2015-10-20,9409.75
2015-10-21,9344.58
2015-10-22,9466.47
2015-10-23,9531.43
2015-10-26,9527.7
2015-10-27,9528.86
2015-10-28,9594.43
2015-10-29,9567.83
2015-10-30,9567.94
2015-11-02,9672.7
2015-11-03,9683.83
2015-11-04,9651.9
2015-11-05,9639.56
2015-11-06,9640.22
2015-11-09,9518.57
2015-11-10,9557.75
2015-11-11,9521.06
2015-11-12,9362.69
2015-11-13,9218.48
2015-11-16,9337.48
2015-11-17,9343.37
2015-11-18,9499.1
2015-11-19,9486.99
2015-11-20,9534.3
2015-11-23,9530.25
2015-11-24,9529.1
2015-11-25,9584.31
2015-11-27,9591.37
2015-11-30,9525.73
2015-12-01,9643.12
2015-12-02,9535.05
2015-12-03,9384.85
2015-12-04,9593.85
2015-12-07,9549.5
2015-12-08,9536.51
2015-12-09,9416.24
2015-12-10,9460.65
2015-12-11,9258.77
2015-12-14,9267.35
2015-12-15,9367.12
2015-12-16,9505.4
2015-12-17,9347.05
2015-12-18,9201.7
2015-12-21,9273.87
2015-12-22,9328.76
2015-12-23,9398.65
2015-12-24,9392.91
2015-12-28,9401.76
2015-12-29,9509.71
2015-12-30,9439.88
2015-12-31,9347.45
2016-01-04,9151.16
2016-01-05,9156.09
2016-01-06,9055.21
2016-01-07,8849.58
2016-01-08,8716.62
2016-01-11,8712.07
2016-01-12,8820.87
2016-01-13,8531.46
2016-01-14,8638.32
2016-01-15,8461.51
2016-01-19,8490.18
2016-01-20,8428.11
2016-01-21,8446.44
2016-01-22,8635.63
2016-01-25,8521.21
2016-01-26,8614.15
2016-01-27,8453.01
2016-01-28,8477.26
2016-01-29,8670.42
2016-02-01,8702.5
2016-02-02,8506.98
2016-02-03,8479.49
2016-02-04,8461.38
2016-02-05,8155.75
2016-02-08,7909.7
2016-02-09,7951.07
2016-02-10,8031.18
2016-02-11,7974.8
2016-02-12,8132.29
2016-02-16,8321.48
2016-02-17,8488.65
2016-02-18,8413.46
2016-02-19,8472.58
2016-02-22,8603.66
2016-02-23,8515
2016-02-24,8575.04
2016-02-25,8700.75
2016-02-26,8699.23
2016-02-29,8627.2
2016-03-01,8876.64
2016-03-02,8874.38
2016-03-03,8893.93
2016-03-04,8906.12
2016-03-07,8864.94
2016-03-08,8763.18
2016-03-09,8801.15
2016-03-10,8819.21
2016-03-11,8993.51
2016-03-14,8998.6
2016-03-15,8983.55
2016-03-16,9039.49
2016-03-17,9057.01
2016-03-18,9095.15
2016-03-21,9105.4
2016-03-22,9117.04
2016-03-23,9062.35
2016-03-24,9057.89
2016-03-28,9082.41
2016-03-29,9197.9
2016-03-30,9230.68
2016-03-31,9221.5
2016-04-01,9314.99
2016-04-04,9276.49
2016-04-05,9190.84
2016-04-06,9319.35
2016-04-07,9197.76
2016-04-08,9212.24
2016-04-11,9139.01
2016-04-12,9190.63
2016-04-13,9304.88
2016-04-14,9293.11
2016-04-15,9300.67
2016-04-18,9371.47
2016-04-19,9301.47
2016-04-20,9317.23
2016-04-21,9297.57
2016-04-22,9287.27
2016-04-25,9288.33
2016-04-26,9318.52
2016-04-27,9326.08
2016-04-28,9201.91
2016-04-29,9150.31
2016-05-02,9248.56
2016-05-03,9178.77
2016-05-04,9120.27
2016-05-05,9119.87
2016-05-06,9179.95
2016-05-09,9227.53
2016-05-10,9335.84
2016-05-11,9231.77
2016-05-12,9229.31
2016-05-13,9191.12
2016-05-16,9286.73
2016-05-17,9182.37
2016-05-18,9189.54
2016-05-19,9149.22
2016-05-20,9231.98
2016-05-23,9220.29
2016-05-24,9385.62
2016-05-25,9419.54
2016-05-26,9429.01
2016-05-27,9489.95
2016-05-31,9483.3
2016-06-01,9484.31
2016-06-02,9528.18
2016-06-03,9476.25
2016-06-06,9501.71
2016-06-07,9510.93
2016-06-08,9545.39
2016-06-09,9535.88
2016-06-10,9408.34
2016-06-13,9324.03
2016-06-14,9309.09
2016-06-15,9309.68
2016-06-16,9328.88
2016-06-17,9274.33
2016-06-20,9365.69
2016-06-21,9370.9
2016-06-22,9353.52
2016-06-23,9485.38
2016-06-24,9130.55
2016-06-27,8926.89
2016-06-28,9112.05
2016-06-29,9291.32
2016-06-30,9407.22
2016-07-01,9418.15
2016-07-05,9370.45
2016-07-06,9432.76
2016-07-07,9446.82
2016-07-08,9623.7
2016-07-11,9659.51
2016-07-12,9722.86
