Date,S&P 500 Low Rate-Sensitivity 100 Index (USD) TR
2014-12-29,9197.46
2014-12-30,9120.65
2014-12-31,9002.05
2015-01-02,9036.8
2015-01-05,8958.56
2015-01-06,8959.39
2015-01-07,9089.12
2015-01-08,9191.46
2015-01-09,9133.95
2015-01-12,9104.86
2015-01-13,9099.09
2015-01-14,9120.16
2015-01-15,9124.96
2015-01-16,9224.88
2015-01-20,9251.66
2015-01-21,9285.53
2015-01-22,9361.87
2015-01-23,9340.98
2015-01-26,9358.09
2015-01-27,9323.41
2015-01-28,9229.36
2015-01-29,9302.27
2015-01-30,9148.83
2015-02-02,9215.54
2015-02-03,9293.41
2015-02-04,9248.27
2015-02-05,9328.2
2015-02-06,9149.4
2015-02-09,9091.32
2015-02-10,9202.03
2015-02-11,9145.6
2015-02-12,9198.43
2015-02-13,9167.27
2015-02-17,9171.12
2015-02-18,9257.78
2015-02-19,9209.7
2015-02-20,9255.5
2015-02-23,9289.23
2015-02-24,9285.51
2015-02-25,9268.3
2015-02-26,9241.96
2015-02-27,9260.74
2015-03-02,9250.12
2015-03-03,9240.37
2015-03-04,9189.05
2015-03-05,9237.19
2015-03-06,9033.26
2015-03-09,9064.97
2015-03-10,8979.93
2015-03-11,8942.42
2015-03-12,9089.43
2015-03-13,9034.95
2015-03-16,9159.43
2015-03-17,9121.86
2015-03-18,9259.45
2015-03-19,9227.76
2015-03-20,9336.31
2015-03-23,9331.2
2015-03-24,9263.77
2015-03-25,9149.24
2015-03-26,9110.3
2015-03-27,9165.24
2015-03-30,9252.55
2015-03-31,9191.84
2015-04-01,9183.38
2015-04-02,9231.76
2015-04-06,9311.58
2015-04-07,9249.87
2015-04-08,9285.36
2015-04-09,9262.56
2015-04-10,9306.08
2015-04-13,9254.35
2015-04-14,9279.9
2015-04-15,9280.51
2015-04-16,9268.21
2015-04-17,9198.94
2015-04-20,9264.59
2015-04-21,9255.91
2015-04-22,9269.04
2015-04-23,9305.24
2015-04-24,9326.27
2015-04-27,9257.32
2015-04-28,9276.95
2015-04-29,9191.3
2015-04-30,9097.48
2015-05-01,9189.21
2015-05-04,9219.32
2015-05-05,9067.64
2015-05-06,9052.75
2015-05-07,9115.77
2015-05-08,9201.64
2015-05-11,9150.87
2015-05-12,9141.43
2015-05-13,9095.46
2015-05-14,9205.76
2015-05-15,9282.49
2015-05-18,9296.33
2015-05-19,9298.87
2015-05-20,9282.91
2015-05-21,9277.5
2015-05-22,9258.88
2015-05-26,9183.59
2015-05-27,9247.84
2015-05-28,9253.84
2015-05-29,9199.26
2015-06-01,9231.43
2015-06-02,9157.64
2015-06-03,9103.21
2015-06-04,9066.07
2015-06-05,8976.24
2015-06-08,8936.25
2015-06-09,8915.33
2015-06-10,8977.83
2015-06-11,9016.33
2015-06-12,8961.9
2015-06-15,8922.98
2015-06-16,8991.25
2015-06-17,9053.46
2015-06-18,9167.58
2015-06-19,9110.36
2015-06-22,9111.39
2015-06-23,9066.65
2015-06-24,9009.56
2015-06-25,8976.44
2015-06-26,9027.85
2015-06-29,8888.52
2015-06-30,8893.8
2015-07-01,8986.9
2015-07-02,9026.13
2015-07-06,9038.1
2015-07-07,9177.32
2015-07-08,9090.47
2015-07-09,9058.21
2015-07-10,9139.32
2015-07-13,9189.76
