Date,S&P 500 Low Rate-Sensitivity Index (USD) TR
2014-12-22,9617.79
2014-12-23,9636.72
2014-12-24,9653.7
2014-12-26,9689.75
2014-12-29,9719.68
2014-12-30,9660.23
2014-12-31,9558.34
2015-01-02,9568.76
2015-01-05,9423.59
2015-01-06,9359.76
2015-01-07,9485.79
2015-01-08,9630.26
2015-01-09,9554.13
2015-01-12,9494.78
2015-01-13,9477.15
2015-01-14,9451.26
2015-01-15,9398.23
2015-01-16,9518.58
2015-01-20,9524.84
2015-01-21,9579.08
2015-01-22,9698.45
2015-01-23,9658.92
2015-01-26,9693.64
2015-01-27,9627.5
2015-01-28,9507.19
2015-01-29,9590.78
2015-01-30,9457.83
2015-02-02,9557.98
2015-02-03,9689.07
2015-02-04,9643.58
2015-02-05,9746.44
2015-02-06,9663.62
2015-02-09,9617.85
2015-02-10,9723.82
2015-02-11,9700.18
2015-02-12,9785.58
2015-02-13,9803.07
2015-02-17,9814.66
2015-02-18,9848.13
2015-02-19,9828.6
2015-02-20,9885.31
2015-02-23,9892.11
2015-02-24,9900.01
2015-02-25,9895.16
2015-02-26,9864.2
2015-02-27,9855.25
2015-03-02,9892.94
2015-03-03,9859.17
2015-03-04,9809.73
2015-03-05,9841.53
2015-03-06,9675.22
2015-03-09,9710.17
2015-03-10,9580.74
2015-03-11,9565.54
2015-03-12,9699.12
2015-03-13,9637.05
2015-03-16,9770.68
2015-03-17,9738.17
2015-03-18,9872.33
2015-03-19,9830.81
2015-03-20,9929.18
2015-03-23,9915.44
2015-03-24,9856.81
2015-03-25,9726
2015-03-26,9697.03
2015-03-27,9748.17
2015-03-30,9859.38
2015-03-31,9790.25
2015-04-01,9761.27
2015-04-02,9806.75
2015-04-06,9878.22
2015-04-07,9836.47
2015-04-08,9875.07
2015-04-09,9891.31
2015-04-10,9927.01
2015-04-13,9876.97
2015-04-14,9894.93
2015-04-15,9931.08
2015-04-16,9917.22
2015-04-17,9814.94
2015-04-20,9896.48
2015-04-21,9887.67
2015-04-22,9916.61
2015-04-23,9949.14
2015-04-24,9955.95
2015-04-27,9889.07
2015-04-28,9907.6
2015-04-29,9844.05
2015-04-30,9751.49
2015-05-01,9856.34
2015-05-04,9886.76
2015-05-05,9749.97
2015-05-06,9717.69
2015-05-07,9763.35
2015-05-08,9872.34
2015-05-11,9828.65
2015-05-12,9804.49
2015-05-13,9782.35
2015-05-14,9883.84
2015-05-15,9923
2015-05-18,9953.59
2015-05-19,9944.1
2015-05-20,9940.78
2015-05-21,9954.29
2015-05-22,9938.34
2015-05-26,9837.97
2015-05-27,9917.99
2015-05-28,9906.79
2015-05-29,9851.83
2015-06-01,9873.66
2015-06-02,9842.67
2015-06-03,9835.01
2015-06-04,9762.97
2015-06-05,9730.09
2015-06-08,9675.89
2015-06-09,9664.96
2015-06-10,9758.7
2015-06-11,9788.44
2015-06-12,9728.19
2015-06-15,9683.06
2015-06-16,9744.1
2015-06-17,9786.17
2015-06-18,9891.94
2015-06-19,9849.14
2015-06-22,9884.47
2015-06-23,9864.91
2015-06-24,9792.77
2015-06-25,9761.82
2015-06-26,9784.22
2015-06-29,9592.95
2015-06-30,9614.32
2015-07-01,9692.57
2015-07-02,9703.24
2015-07-06,9678.35
2015-07-07,9777.46
2015-07-08,9635.97
2015-07-09,9642.34
2015-07-10,9745.06
2015-07-13,9832.39
2015-07-14,9859.59
2015-07-15,9838.23
2015-07-16,9913.86
2015-07-17,9874.97
2015-07-20,9860.86
2015-07-21,9814.3
2015-07-22,9825.68
2015-07-23,9771.78
2015-07-24,9689.98
2015-07-27,9661.07
2015-07-28,9772.13
2015-07-29,9841.2
2015-07-30,9846.84
2015-07-31,9869.51
2015-08-03,9853.42
2015-08-04,9829.64
2015-08-05,9865.41
2015-08-06,9804.04
2015-08-07,9801.17
2015-08-10,9899.19
2015-08-11,9846.19
2015-08-12,9883.86
2015-08-13,9874.54
2015-08-14,9921.12
2015-08-17,9976.91
2015-08-18,9956.1
2015-08-19,9901.54
2015-08-20,9729.95
2015-08-21,9481.36
2015-08-24,9125.03
2015-08-25,8976.12
2015-08-26,9254.94
2015-08-27,9455.31
2015-08-28,9464.18
2015-08-31,9371.77
2015-09-01,9125.07
2015-09-02,9256.02
2015-09-03,9289.42
2015-09-04,9152.99
2015-09-08,9376.27
2015-09-09,9251.16
2015-09-10,9279.22
2015-09-11,9333.61
2015-09-14,9302.02
2015-09-15,9401.32
2015-09-16,9499.85
2015-09-17,9517.71
2015-09-18,9389.96
2015-09-21,9421.2
2015-09-22,9296.91
2015-09-23,9282.22
2015-09-24,9259.55
2015-09-25,9268.33
2015-09-28,9046.67
2015-09-29,9063.15
2015-09-30,9223.12
2015-10-01,9221.51
2015-10-02,9361.27
2015-10-05,9520.25
2015-10-06,9463.33
2015-10-07,9540.81
2015-10-08,9642.06
2015-10-09,9643.11
2015-10-12,9663.87
2015-10-13,9591.61
2015-10-14,9550.12
2015-10-15,9670.34
2015-10-16,9708.02
2015-10-19,9718.84
2015-10-20,9718.95
2015-10-21,9668.56
2015-10-22,9806.9
2015-10-23,9816.08
2015-10-26,9801.66
2015-10-27,9772.51
2015-10-28,9844.76
2015-10-29,9840.64
2015-10-30,9825.88
2015-11-02,9931.35
2015-11-03,9936.01
2015-11-04,9902.19
2015-11-05,9890.34
2015-11-06,9816.62
2015-11-09,9731.41
2015-11-10,9770.79
2015-11-11,9742.33
2015-11-12,9607.41
2015-11-13,9509.55
2015-11-16,9647.99
2015-11-17,9626.3
2015-11-18,9769.32
2015-11-19,9775.99
2015-11-20,9815.93
2015-11-23,9818.09
2015-11-24,9824.79
2015-11-25,9838.2
2015-11-27,9848.6
2015-11-30,9806.27
2015-12-01,9902.76
2015-12-02,9781.9
2015-12-03,9650.54
2015-12-04,9827.91
2015-12-07,9790.74
2015-12-08,9742.19
2015-12-09,9674.35
2015-12-10,9670.16
2015-12-11,9521.31
2015-12-14,9544.75
2015-12-15,9637.95
2015-12-16,9791.45
2015-12-17,9658.68
2015-12-18,9514.15
2015-12-21,9583.92
2015-12-22,9673.82
2015-12-23,9800.01
2015-12-24,9791.25
2015-12-28,9777.96
2015-12-29,9871.3
2015-12-30,9805.2
2015-12-31,9721.7
2016-01-04,9597.67
2016-01-05,9644.91
2016-01-06,9530.98
2016-01-07,9352.69
2016-01-08,9253.73
2016-01-11,9248.85
2016-01-12,9292.05
2016-01-13,9090.81
2016-01-14,9204.05
2016-01-15,9057.89
2016-01-19,9064.64
2016-01-20,8963.4
2016-01-21,9025.92
2016-01-22,9206.27
2016-01-25,9065.43
2016-01-26,9206.86
2016-01-27,9131.72
2016-01-28,9148.48
2016-01-29,9373.61
2016-02-01,9400.45
2016-02-02,9242.93
2016-02-03,9321.14
2016-02-04,9333.66
2016-02-05,9182.92
2016-02-08,9016.23
2016-02-09,8993.6
2016-02-10,9013.74
2016-02-11,8904.4
2016-02-12,9063.12
2016-02-16,9226.95
2016-02-17,9371.95
2016-02-18,9366.39
2016-02-19,9353.09
2016-02-22,9493.58
2016-02-23,9413.15
2016-02-24,9468.4
2016-02-25,9576.66
2016-02-26,9547.61
2016-02-29,9496.23
2016-03-01,9674.1
2016-03-02,9723.88
2016-03-03,9786.6
2016-03-04,9825.25
2016-03-07,9857.18
2016-03-08,9743.71
2016-03-09,9790.96
2016-03-10,9806.13
2016-03-11,9966.57
2016-03-14,9952.54
2016-03-15,9911.31
2016-03-16,9995.92
2016-03-17,10070.62
2016-03-18,10102.44
2016-03-21,10095.92
2016-03-22,10085.51
2016-03-23,10021.97
2016-03-24,10014.36
2016-03-28,10033.64
2016-03-29,10144.97
2016-03-30,10170.32
2016-03-31,10173.83
2016-04-01,10220.47
2016-04-04,10175.83
2016-04-05,10067.69
2016-04-06,10158.86
2016-04-07,10053.73
2016-04-08,10091.11
2016-04-11,10062.26
2016-04-12,10154.81
2016-04-13,10225.92
2016-04-14,10205.12
2016-04-15,10226.21
2016-04-18,10290.04
2016-04-19,10319.57
2016-04-20,10277.32
2016-04-21,10183.99
2016-04-22,10232.42
2016-04-25,10215.33
2016-04-26,10254.46
2016-04-27,10304.29
2016-04-28,10218.46
2016-04-29,10166.92
2016-05-02,10248.15
2016-05-03,10177.84
2016-05-04,10155.72
2016-05-05,10153.42
2016-05-06,10179.5
2016-05-09,10209.98
2016-05-10,10306.78
2016-05-11,10193.31
2016-05-12,10201.93
2016-05-13,10121.64
2016-05-16,10209.53
2016-05-17,10106.37
2016-05-18,10043.89
2016-05-19,10029.36
2016-05-20,10085.91
2016-05-23,10063.11
2016-05-24,10190.12
2016-05-25,10238.37
2016-05-26,10256.05
2016-05-27,10303.49
2016-05-31,10314.76
2016-06-01,10338.87
2016-06-02,10381.81
2016-06-03,10384.02
2016-06-06,10419.01
2016-06-07,10439.66
2016-06-08,10479.78
2016-06-09,10485.54
2016-06-10,10383.7
2016-06-13,10312.33
2016-06-14,10299.35
2016-06-15,10293.68
2016-06-16,10320.86
2016-06-17,10317
2016-06-20,10371.54
2016-06-21,10394.75
2016-06-22,10378.35
2016-06-23,10494.54
2016-06-24,10190.95
2016-06-27,10039.34
2016-06-28,10203.17
2016-06-29,10367.56
2016-06-30,10534.93
2016-07-01,10560.17
2016-07-05,10505.59
