Date,S&P 500 High Rate-Sensitivity 100 Index (USD) TR
2015-02-17,8337.2
2015-02-18,8290.45
2015-02-19,8309.29
2015-02-20,8345.72
2015-02-23,8304.45
2015-02-24,8340.86
2015-02-25,8334.5
2015-02-26,8283.93
2015-02-27,8267.31
2015-03-02,8320.74
2015-03-03,8290.47
2015-03-04,8247.15
2015-03-05,8243.38
2015-03-06,8137.04
2015-03-09,8130.37
2015-03-10,7951.87
2015-03-11,7994.76
2015-03-12,8081.95
2015-03-13,8018.73
2015-03-16,8112.56
2015-03-17,8079.63
2015-03-18,8205.25
2015-03-19,8108.96
2015-03-20,8221.8
2015-03-23,8216.26
2015-03-24,8174.8
2015-03-25,8044.11
2015-03-26,8023.64
2015-03-27,8013.73
2015-03-30,8126.92
2015-03-31,8078.35
2015-04-01,8067.06
2015-04-02,8109.85
2015-04-06,8179.87
2015-04-07,8148.36
2015-04-08,8173.15
2015-04-09,8230.28
2015-04-10,8238.46
2015-04-13,8204.69
2015-04-14,8236.63
2015-04-15,8348.92
2015-04-16,8317.3
2015-04-17,8225.31
2015-04-20,8258.72
2015-04-21,8240.15
2015-04-22,8296.76
2015-04-23,8310.15
2015-04-24,8278.85
2015-04-27,8247.38
2015-04-28,8287.46
2015-04-29,8327.94
2015-04-30,8273.85
2015-05-01,8346.19
2015-05-04,8385.74
2015-05-05,8309.23
2015-05-06,8258.31
2015-05-07,8261.93
2015-05-08,8357
2015-05-11,8354.22
2015-05-12,8305.48
2015-05-13,8340.5
2015-05-14,8387.73
2015-05-15,8353.44
2015-05-18,8405.93
2015-05-19,8368.1
2015-05-20,8374.41
2015-05-21,8409.47
2015-05-22,8390.09
2015-05-26,8275.51
2015-05-27,8354.12
2015-05-28,8329.44
2015-05-29,8249.96
2015-06-01,8245.11
2015-06-02,8314.32
2015-06-03,8353.77
2015-06-04,8258.98
2015-06-05,8321.39
2015-06-08,8256.09
2015-06-09,8267.6
2015-06-10,8389.29
2015-06-11,8393.26
2015-06-12,8342.98
2015-06-15,8288.6
2015-06-16,8327.14
2015-06-17,8312.62
2015-06-18,8365.04
2015-06-19,8309.67
2015-06-22,8372.35
2015-06-23,8408.67
2015-06-24,8330.6
2015-06-25,8280.56
2015-06-26,8276.3
2015-06-29,8058.86
2015-06-30,8084.27
2015-07-01,8125.87
2015-07-02,8115.55
2015-07-06,8029.27
2015-07-07,8047.01
2015-07-08,7852.86
2015-07-09,7907.84
2015-07-10,8000.5
2015-07-13,8103.99
2015-07-14,8149.01
2015-07-15,8105.14
2015-07-16,8161.65
2015-07-17,8090.45
2015-07-20,8048.22
2015-07-21,8044.29
2015-07-22,8051.38
2015-07-23,8006.57
2015-07-24,7884.45
2015-07-27,7786.98
2015-07-28,7918.84
2015-07-29,8009
2015-07-30,8022.19
2015-07-31,7972.29
2015-08-03,7919.88
2015-08-04,7916.96
2015-08-05,7925.65
2015-08-06,7913.29
2015-08-07,7850.03
2015-08-10,8047.83
2015-08-11,7908.91
2015-08-12,7901.33
2015-08-13,7866.98
2015-08-14,7905.71
2015-08-17,7932.73
2015-08-18,7908.93
2015-08-19,7793.86
2015-08-20,7596.42
2015-08-21,7362.77
2015-08-24,7027.11
2015-08-25,6922.31
2015-08-26,7155.48
2015-08-27,7423.87
2015-08-28,7459.77
2015-08-31,7470.51
2015-09-01,7196.65
2015-09-02,7309.53
2015-09-03,7338.07
2015-09-04,7211.07
2015-09-08,7423.06
2015-09-09,7326.26
2015-09-10,7351.82
2015-09-11,7342.98
